problem,expected_szs,result,time_ms,steps,active_branches_max,csp_calls
SET/SET009^5.p,Theorem,thm,22,16.0,2.0,1.0
SET/SET622^5.p,Theorem,thm,22,4.0,1.0,0.0
SEU/SEU567^2.p,Theorem,thm,22,19.0,3.0,1.0
SET/SET601^5.p,Theorem,thm,22,4.0,1.0,0.0
SEU/SEU562^2.p,Theorem,thm,22,18.0,2.0,1.0
SEU/SEU607^2.p,Theorem,thm,22,14.0,2.0,1.0
SET/SET621^5.p,Theorem,thm,22,4.0,1.0,0.0
SYO/SYO108^5.p,Theorem,thm,22,20.0,3.0,1.0
SEU/SEU544^2.p,Theorem,thm,23,27.0,4.0,1.0
SYO/SYO007^1.p,Theorem,thm,23,35.0,3.0,0.0
NUM/NUM700^1.p,Theorem,thm,23,46.0,8.0,1.0
SET/SET586^5.p,Theorem,thm,23,14.0,2.0,1.0
SEU/SEU608^2.p,Theorem,thm,23,14.0,2.0,1.0
SEU/SEU693^2.p,Theorem,thm,23,8.0,1.0,0.0
SET/SET584^5.p,Theorem,thm,23,15.0,2.0,1.0
SYO/SYO145^5.p,Theorem,thm,23,33.0,2.0,3.0
SEU/SEU882^5.p,Theorem,thm,23,15.0,2.0,1.0
SYO/SYO006^1.p,Theorem,thm,24,34.0,3.0,0.0
SET/SET588^5.p,Theorem,thm,24,14.0,2.0,1.0
SEV/SEV164^5.p,Theorem,thm,24,25.0,3.0,1.0
SYO/SYO002^1.p,Theorem,thm,24,15.0,2.0,1.0
SET/SET086^1.p,Theorem,thm,24,16.0,2.0,1.0
SEU/SEU499^2.p,Theorem,thm,24,27.0,4.0,1.0
ITP/ITP001^2.p,Theorem,thm,24,1.0,1.0,0.0
SEU/SEU694^2.p,Theorem,thm,25,8.0,1.0,0.0
SEV/SEV272^5.p,Theorem,thm,25,1.0,1.0,0.0
SEV/SEV051^5.p,Theorem,thm,25,11.0,2.0,0.0
SYN/SYN358^5.p,Theorem,thm,25,27.0,2.0,1.0
NUM/NUM663^1.p,Theorem,thm,25,26.0,3.0,3.0
SET/SET027^5.p,Theorem,thm,25,20.0,4.0,1.0
SEU/SEU771^2.p,Theorem,thm,26,12.0,1.0,1.0
SYO/SYO212^5.p,Theorem,thm,26,53.0,6.0,0.0
CSR/CSR135^1.p,Theorem,thm,26,13.0,2.0,1.0
SEV/SEV240^5.p,Theorem,thm,26,15.0,3.0,1.0
SYN/SYN915^4.p,Theorem,thm,26,3.0,1.0,0.0
SEU/SEU622^2.p,Theorem,thm,26,26.0,4.0,1.0
